group,time,att_diffdiff,se_traditional,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,se_ratio_hac_to_traditional,ci_low_traditional,ci_high_traditional,ci_low_spatial_hac,ci_high_spatial_hac,t_traditional,t_spatial_hac,p_traditional,p_spatial_hac,sig_traditional,sig_spatial_hac
2019,2020,3767.1132807825757,4362.444119142382,1,3767.1132807825757,4112.975054177641,365114,50000000,True,0.9428143815367005,-4783.277192736492,12317.503754301644,-4294.3178254056,11828.544386970752,0.8635327302537819,0.9159095864090482,0.3878446319099221,0.3597143183474239,,
2019,2021,1094.45111369594,1166.3580203608844,2,1094.45111369594,1099.7466079102817,365114,50000000,True,0.9428893947760634,-1191.6106062113936,3380.5128336032735,-1061.0522378082119,3249.954465200092,0.9383491986082493,0.9951848051394274,0.34806498395796487,0.31964639057722977,,
2019,2022,2252.1272008404376,1573.3285702332416,3,2252.1272008404376,1483.4367621902707,365114,50000000,True,0.9428652032743263,-831.596796816716,5335.851198497591,-655.4088530524928,5159.663254733368,1.431441113731613,1.5181821417956556,0.15230383235221107,0.1289684881635402,,
2019,2023,1340.0579332875332,1072.8440270891485,4,1340.0579332875332,1011.6438112760967,365114,50000000,True,0.9429551600533203,-762.7163598071979,3442.8322263822643,-642.7639368136163,3322.8798033886824,1.2490706006197305,1.3246341433129234,0.21163925246623425,0.18529252574065683,,
2019,2024,1483.485801635035,1161.878810370971,5,1483.485801635035,1095.5821744048696,365114,50000000,True,0.9429401454141901,-793.7966666920684,3760.768269962138,-663.8552601985093,3630.826863468579,1.276799084718121,1.3540616452991106,0.20167318877340798,0.1757167114285605,,
2019,2025,1703.9741267360655,1073.844874884651,6,1703.9741267360655,1012.5829725837057,365114,50000000,True,0.9429508826332799,-400.7618280378506,3808.7100815099816,-280.68849952799746,3688.6367530001285,1.5867972801184165,1.6827995066796422,0.11255856505591673,0.09241391057786397,,.
2020,2002,-115.12296343533183,30.265121684041834,-18,221.10495622423377,81.12273606799525,389984,50000000,True,2.6804034331958286,-174.44260193605382,-55.80332493460983,-274.1235261286025,43.87759925793887,-3.8038163083293917,-1.419120816374319,0.00014248385391777744,0.15586379605827838,***,
2020,2003,429.00660526277335,28.697665423919073,-17,650.1115614870072,79.07443100549868,389984,50000000,True,2.755430793321304,372.75918103189196,485.25402949365474,274.0207204919959,583.9924900335508,14.949181368084485,5.4253517832198,1.5767554805919956e-50,5.7840509332001334e-08,***,***
2020,2004,-467.24194583409775,46.31822594509451,-16,182.86961565290952,90.23736139065745,389984,50000000,True,1.9482041798756402,-558.025668686483,-376.45822298171254,-644.1071741597864,-290.3767175084091,-10.087647708873067,-5.17792119177005,6.265287934684922e-24,2.2437196786769876e-07,***,***
2020,2005,179.11841216936512,46.26922025050802,-15,361.9880278222746,79.66357623932495,389984,50000000,True,1.7217401937619703,88.4307404783694,269.80608386036084,22.97780274028821,335.259021598442,3.871221758214057,2.2484354911617124,0.00010829121860003737,0.024548434206111244,***,*
2020,2006,354.8506616742856,29.189113801938664,-14,716.8386894965602,80.75469474596447,389984,50000000,True,2.7666031690417734,297.63999862248585,412.0613247260854,196.57145997219527,513.129863376376,12.15695221451764,4.394179964280262,5.268794306121022e-34,1.1119167664299116e-05,***,***
2020,2007,-766.3497300956451,32.860020188757005,-13,-49.51104059908482,83.02266313270584,389984,50000000,True,2.5265554511470416,-830.7553696656088,-701.9440905256814,-929.0741498357486,-603.6253103555416,-23.32164513878936,-9.230608862434217,2.674177110078341e-120,2.690978629500025e-20,***,***
2020,2008,-8.689605763581337,36.776223643062735,-12,-58.20064636266608,82.02106142162135,389984,50000000,True,2.230274163483704,-80.7710041039843,63.391792576821615,-169.4508861499592,152.0716746227965,-0.23628325322141921,-0.10594359074327576,0.8132128810672867,0.9156271082495834,,
2020,2009,515.8475392842713,41.54608416678925,-11,457.6468929216052,85.21897367641141,389984,50000000,True,2.051191475333625,434.41721431736437,597.2778642511782,348.81835087850493,682.8767276900377,12.416273389650163,6.053200561215604,2.1326638727385646e-35,1.4199589453024705e-09,***,***
2020,2010,-44.89601030065897,38.439946735909956,-10,412.7508826209463,79.51609099829626,389984,50000000,True,2.068579635257758,-120.23830590304249,30.446285301724544,-200.74754865731967,110.95552805600171,-1.1679519383599424,-0.5646154097492158,0.24282615201253793,0.5723353816124349,,
2020,2011,142.41684418477843,30.71020903259632,-9,555.1677268057247,81.44527742913583,389984,50000000,True,2.6520587125502293,82.22483448088964,202.60885388866723,-17.215899576327786,302.04958794588464,4.637443009053271,1.7486200388806206,3.5274582849675725e-06,0.08035672009465777,***,.
2020,2012,-140.60714571411776,32.603465789459776,-8,414.5605810916068,79.99275661454557,389984,50000000,True,2.4535047019573626,-204.50993866145893,-76.7043527667766,-297.3929486786271,16.178657250391552,-4.312644141027915,-1.7577484720479093,1.613136467902618e-05,0.07879031632952067,***,.
2020,2013,-6.194260890980601,33.76716903769931,-7,408.3663202006263,81.1740507049017,389984,50000000,True,2.4039341472267055,-72.37791220487125,59.98939042291005,-165.29540027258793,152.90687849062675,-0.18344033768614204,-0.07630838719012652,0.8544525279173313,0.9391737532893301,,
2020,2014,-436.2699092851214,29.355535785521642,-6,-27.903589084495138,79.43505844312585,389984,50000000,True,2.7059652061368196,-493.8067594247438,-378.733059145499,-591.9626238336481,-280.5771947365947,-14.861589053342804,-5.492158221265528,5.852045494669355e-50,3.970514277679156e-08,***,***
2020,2015,310.1444871117973,24.176787959526585,-5,282.24089802730225,77.91370254471919,389984,50000000,True,3.2226655863116087,262.7579827111252,357.53099151246937,157.43363012414767,462.8553440994469,12.828192381510647,3.980615437108606,1.139927730160817e-37,6.873707435305936e-05,***,***
2020,2016,-767.8098739404115,32.824265235967424,-4,-485.56897591310917,80.67981098976833,389984,50000000,True,2.457931972270406,-832.1454338029077,-703.4743140779153,-925.9423034803574,-609.6774444004657,-23.391532709742986,-9.516753504018295,5.211721414473413e-121,1.786737292189031e-21,***,***
2020,2017,-448.05528467897864,58.57742807113214,-3,-933.6242605920877,90.79227428535539,389984,50000000,True,1.5499532375355214,-562.8670436983977,-333.2435256595596,-626.0081422782752,-270.1024270796821,-7.648940887860305,-4.9349494569412835,2.0264135927620334e-14,8.017151865018849e-07,***,***
2020,2018,1060.0823820182745,113.74760772405057,-2,126.4581214261865,118.09266020899412,389984,50000000,True,1.0381990669683758,837.1370708791354,1283.0276931574135,828.6207680086461,1291.543996027903,9.319601556720325,8.976699992549893,1.1677800774782435e-20,2.7900936897658574e-19,***,***
2020,2019,-126.4581214261865,109.23713431585035,-1,0.0,0.0,389984,50000000,True,0.0,-340.5629046852532,87.6466618328802,-126.4581214261865,-126.4581214261865,-1.1576477378154488,-inf,0.24700781957459705,,,
2020,2020,-247.53767720988347,103.74635256069197,0,-247.53767720988347,113.62745651752269,389984,50000000,True,1.0952429045739245,-450.8805282288397,-44.194826190927216,-470.24749198422796,-24.827862435539004,-2.385989204440446,-2.1785023162224024,0.017033251064109505,0.029368659979206596,*,*
2020,2021,217.67509274145561,93.45366776450089,1,217.67509274145561,103.64776668334214,389984,50000000,True,1.1090818494628796,34.505903923033856,400.84428155987734,14.525470042105013,420.82471544080624,2.329230066068538,2.1001426244569483,0.01984688093267526,0.03571629673138103,*,*
2020,2022,478.86937745061675,97.78031909265579,2,478.86937745061675,107.5635046737851,389984,50000000,True,1.1000527066378138,287.21995202901144,670.5188028722221,268.0449082899979,689.6938466112356,4.897400436961596,4.451968898772082,9.711281081612217e-07,8.508649210027e-06,***,***
2020,2023,332.7184955056203,70.68156815261362,3,332.7184955056203,83.03274953602373,389984,50000000,True,1.1747440203468857,194.1826219264976,471.25436908474296,169.97430641501379,495.46268459622684,4.70728797056715,4.007075489668935,2.5103416622422307e-06,6.1475218860574e-05,***,***
2020,2024,798.303818401205,87.27558913725916,4,798.303818401205,97.43063592494089,389984,50000000,True,1.1163560955367575,627.243663692177,969.363973110233,607.3397719883209,989.2678648140892,9.146931304533561,8.193560586181603,5.857374034332653e-20,2.5360970800995883e-16,***,***
2020,2025,491.6658673817541,72.43597883879595,5,491.6658673817541,84.45142764089779,389984,50000000,True,1.1658768059011373,349.69134885771405,633.6403859057941,326.1410692055944,657.1906655579137,6.787591957250159,5.821877511324061,1.1402058461721138e-11,5.819019133956557e-09,***,***
2021,2002,-232.2270200143982,231.74769050719644,-19,1927.3702343862692,224.90309498855785,367224,50000000,True,0.970465312928648,-686.4524934085032,221.9984533797068,-673.0370861919716,208.5830461631752,-1.002068324849981,-1.032564803193184,0.31631059488013485,0.3018076065899863,,
2021,2003,-399.92326456423837,219.41830984765684,-18,1527.446969822031,159.46377433632213,367224,50000000,True,0.7267569167178372,-829.9831518656458,30.136622737169034,-712.4722622634297,-87.37426686504699,-1.8226521972660665,-2.5079254910947206,0.06835608463025228,0.012144227179564877,.,*
2021,2004,2042.820359841547,350.0785340003893,-17,3570.2673296635776,370.923347511211,367224,50000000,True,1.0595432495463961,1356.666433200784,2728.97428648231,1315.8105987195736,2769.8301209635206,5.835320253709916,5.507392224157051,5.368734622841015e-09,3.641882337763631e-08,***,***
2021,2005,-1380.6617498550518,364.543210394475,-16,2189.605579808526,220.41657395704797,367224,50000000,True,0.6046377155633581,-2095.166442228223,-666.1570574818808,-1812.678234810866,-948.6452648992378,-3.7873747486917315,-6.263874467643698,0.00015224738836008768,3.755278224883131e-10,***,***
2021,2006,192.82997977911512,254.49476285255548,-15,2382.435559587641,243.6472185703652,367224,50000000,True,0.957376159098115,-305.9797554118936,691.6397149701238,-284.71856861880065,670.378528177031,0.7576972414588878,0.7914310736259274,0.4486322508009016,0.42869248305143637,,
2021,2007,-832.2115228413903,234.0964699765692,-14,1550.2240367462512,201.27248096545708,367224,50000000,True,0.8597843486730171,-1291.040603995466,-373.38244168731467,-1226.7055855336862,-437.71746014909445,-3.554993900269776,-4.134750656669337,0.00037798785830579806,3.5534022859885055e-05,***,***
2021,2008,-528.9830963551967,186.39622763141557,-13,1021.2409403910544,185.80416813293692,367224,50000000,True,0.9968236508538714,-894.3197025127713,-163.6464901976222,-893.1592658957532,-164.80692681464035,-2.837949582333934,-2.846992624927156,0.00454043539228758,0.004413438483064711,**,**
2021,2009,1052.0226221919793,215.9684287555835,-12,2073.2635625830335,215.1693370243267,367224,50000000,True,0.9962999604346747,628.7245018310357,1475.3207425529229,630.290721624299,1473.7545227596597,4.8711870908806665,4.889277611489035,1.109297357648314e-06,1.0120668537212242e-06,***,***
2021,2010,-564.5320111165732,194.45572187510956,-11,1508.7315514664601,185.1723242896984,367224,50000000,True,0.9522595812769475,-945.665225991788,-183.39879624135853,-927.4697667243821,-201.59425550876438,-2.903139108856604,-3.048684587624305,0.0036944249554636452,0.0022984566082949456,**,**
2021,2011,478.7231744553448,180.26371636422567,-10,1987.454725921805,193.66703573968306,367224,50000000,True,1.0743539501225847,125.4062903814625,832.040058529227,99.13578440556603,858.3105645051236,2.655682375304396,2.47188775635942,0.007914812324558528,0.013440170755456393,**,*
2021,2012,739.3794417871462,226.4079852227892,-9,2726.834167708951,253.11162844717919,367224,50000000,True,1.117944794209061,295.6197907504794,1183.139092823813,243.28065003067502,1235.4782335436175,3.265695072811079,2.9211595149665133,0.001091957651096161,0.0034873122489428566,**,**
2021,2013,-1880.942381933576,233.30124077830757,-8,845.8917857753751,156.52255944057154,367224,50000000,True,0.6709032447423017,-2338.2128138590588,-1423.671950008093,-2187.726598437096,-1574.1581654300558,-8.062290520438872,-12.01706890467589,7.487798782614118e-16,2.8904360782667723e-33,***,***
2021,2014,166.99038557039995,133.38359183046038,-7,1012.8821713457752,171.04764213838365,367224,50000000,True,1.2823739396356701,-94.4414544173024,428.4222255581023,-168.26299302083197,502.2437641616319,1.2519559810824115,0.9762799620195803,0.2105859042532931,0.3289257470452966,,
2021,2015,113.02949314345659,168.06648953245556,-6,1125.9116644892317,178.99313187566358,367224,50000000,True,1.0650138071759865,-216.38082634015632,442.4398126270695,-237.797045332844,463.8560316197572,0.6725284347753887,0.6314739116469106,0.501247344251172,0.5277307019532138,,
2021,2016,-148.61157539897783,185.38194015775642,-5,977.3000890902542,184.48067977619587,367224,50000000,True,0.9951383593202574,-511.9601781081804,214.73702731022473,-510.19370776032173,212.97055696236606,-0.8016507717661833,-0.8055671497918757,0.42275499958900864,0.4204924733503998,,
2021,2017,1118.2882990749567,269.08646030966804,-4,2095.588388165211,288.78493747883675,367224,50000000,True,1.0732050105624023,590.8788368680074,1645.697761281906,552.2698216164367,1684.3067765334768,4.155869818897676,3.8723913679082003,3.2405230926014434e-05,0.00010777271494841256,***,***
2021,2018,-1239.496254519433,289.96532081252263,-3,856.0921336457782,198.28383985294923,367224,50000000,True,0.6838191522259651,-1807.8282833119774,-671.1642257268886,-1628.1325806312134,-850.8599284076525,-4.274636191135527,-6.2511208953723365,1.9144965052987106e-05,4.0751726274206976e-10,***,***
