cohort_year,year,event_time,ring,reference_ring,att,se,n_exposed,n_reference,exposed_delta_mean,reference_delta_mean
2018,2015,-3,25_50km,gt_50km,-349.54881446148966,57.308036821603686,251980,207960,-2228.3405881328845,-1878.7917736713948
2018,2016,-2,0_5km,gt_50km,84.02398149030796,104.28790081370884,39584,207960,-983.0405658985865,-1067.0645473888944
2018,2016,-2,5_10km,gt_50km,52.01064273397401,86.40915645179032,61262,207960,-1015.0539046549204,-1067.0645473888944
2018,2016,-2,10_25km,gt_50km,-62.96189781108387,60.525651460763065,216216,207960,-1130.0264451999783,-1067.0645473888944
2018,2016,-2,25_50km,gt_50km,-66.98409259222171,57.74721598036942,251980,207960,-1134.0486399811161,-1067.0645473888944
2018,2017,-1,0_5km,gt_50km,0.0,0.0,39584,207960,0.0,0.0
2018,2017,-1,5_10km,gt_50km,0.0,0.0,61262,207960,0.0,0.0
2018,2017,-1,10_25km,gt_50km,0.0,0.0,216216,207960,0.0,0.0
2018,2017,-1,25_50km,gt_50km,0.0,0.0,251980,207960,0.0,0.0
2018,2018,0,0_5km,gt_50km,-920.0071263001493,86.62376688919012,39584,207960,-1070.354180004756,-150.34705370460674
2018,2018,0,5_10km,gt_50km,-821.0398048491738,81.95699861024212,61262,207960,-971.3868585537806,-150.34705370460674
2018,2018,0,10_25km,gt_50km,-742.7961863953518,62.46578967347883,216216,207960,-893.1432400999586,-150.34705370460674
2018,2018,0,25_50km,gt_50km,-682.8276261062804,60.06601331548904,251980,207960,-833.1746798108871,-150.34705370460674
2018,2019,1,0_5km,gt_50km,-597.7710924866204,88.19870830782786,39575,207960,-1506.8375980012881,-909.0665055146677
2018,2019,1,5_10km,gt_50km,-627.3049366186968,80.44046744044417,61262,207960,-1536.3714421333646,-909.0665055146677
2018,2019,1,10_25km,gt_50km,-404.3512695670396,62.99885801173801,216216,207960,-1313.4177750817073,-909.0665055146677
2018,2019,1,25_50km,gt_50km,-421.4442030542324,61.1377191442188,251980,207960,-1330.5107085689,-909.0665055146677
2018,2020,2,0_5km,gt_50km,-1597.2932238845956,95.25651533947148,38591,185173,-1505.6008191070416,91.69240477755403
2018,2020,2,5_10km,gt_50km,-1477.520268102002,86.27381269055755,59814,185173,-1385.8278633244481,91.69240477755403
2018,2020,2,10_25km,gt_50km,-1342.4036809852382,62.78862508537746,211593,185173,-1250.7112762076843,91.69240477755403
2018,2020,2,25_50km,gt_50km,-1119.8238779229773,62.349920139088894,245154,185173,-1028.1314731454233,91.69240477755403
2018,2021,3,0_5km,gt_50km,-1299.4637605860698,90.50997617497043,38107,182280,-1721.0444452801164,-421.58068469404645
2018,2021,3,5_10km,gt_50km,-1222.0895303342932,84.09590753909211,59231,182280,-1643.6702150283397,-421.58068469404645
