year,ring,reference_ring,n_ring,n_reference,exposure_probability,reference_probability,ht_difference,hajek_difference
2016,5_10km,gt_50km,101048,274161,0.10245293712682009,0.27797284157653906,-18.748139133122777,-18.748139133122322
2017,0_5km,gt_50km,99891,274161,0.10127985059115653,0.27797284157653906,-69.28391699005942,-69.28391699005942
2017,10_25km,gt_50km,256868,274161,0.2604394055685617,0.27797284157653906,12.182603216705047,12.182603216705047
2017,25_50km,gt_50km,254319,274161,0.25785496513692263,0.27797284157653906,195.75681688671375,195.7568168867133
2017,5_10km,gt_50km,101048,274161,0.10245293712682009,0.27797284157653906,-68.872981731643,-68.872981731643
2018,0_5km,gt_50km,120969,207960,0.12414754971536242,0.21342430241472418,-693.593761829477,-693.5937618294774
2018,10_25km,gt_50km,282248,207960,0.2896642744179221,0.21342430241472418,-412.71104851552036,-412.7110485155199
2018,25_50km,gt_50km,244852,207960,0.25128566693041954,0.21342430241472418,27.588968358704733,27.588968358704733
2018,5_10km,gt_50km,118368,207960,0.1214782065215718,0.21342430241472418,-737.8450403892921,-737.8450403892923
2019,0_5km,gt_50km,120970,207960,0.12414972269773437,0.2134262737225828,-461.5344773876923,-461.5344773876925
2019,10_25km,gt_50km,282242,207960,0.28966079221008467,0.2134262737225828,-103.24984678389728,-103.24984678389751
2019,25_50km,gt_50km,244852,207960,0.2512879879473064,0.2134262737225828,181.5189766044864,181.5189766044864
2019,5_10km,gt_50km,118364,207960,0.12147522342229174,0.2134262737225828,-453.4748596906402,-453.47485969063996
2020,0_5km,gt_50km,132322,185173,0.13935834204836395,0.19501974178233172,-29.794722291605012,-29.79472229160524
2020,10_25km,gt_50km,277909,185173,0.29268706247123516,0.19501974178233172,370.13272329493884,370.13272329493907
2020,25_50km,gt_50km,228425,185173,0.24057170600805258,0.19501974178233172,617.8101560606083,617.8101560606076
2020,5_10km,gt_50km,125680,185173,0.13236314769001664,0.19501974178233172,152.6389405808036,152.63894058080382
2021,0_5km,gt_50km,137589,182280,0.14522952532747865,0.1924022841701939,268.3602114966618,268.3602114966618
2021,10_25km,gt_50km,278024,182280,0.2934630933406517,0.1924022841701939,780.5264956599867,780.5264956599872
2021,25_50km,gt_50km,219825,182280,0.2320322148217735,0.1924022841701939,708.5982731901877,708.5982731901877
2021,5_10km,gt_50km,129672,182280,0.13687288233990225,0.1924022841701939,380.252894411286,380.25289441128575
2022,0_5km,gt_50km,137589,182280,0.14522952532747865,0.1924022841701939,375.15474593176214,375.15474593176236
2022,10_25km,gt_50km,278024,182280,0.2934630933406517,0.1924022841701939,933.9828206928012,933.9828206928014
2022,25_50km,gt_50km,219825,182280,0.2320322148217735,0.1924022841701939,874.0586773994607,874.0586773994605
2022,5_10km,gt_50km,129672,182280,0.13687288233990225,0.1924022841701939,513.1691660876811,513.1691660876811
2023,0_5km,gt_50km,137589,182280,0.14522952532747865,0.1924022841701939,239.3878097120994,239.38780971209871
2023,10_25km,gt_50km,278024,182280,0.2934630933406517,0.1924022841701939,581.0767302380584,581.0767302380582
2023,25_50km,gt_50km,219825,182280,0.2320322148217735,0.1924022841701939,541.7077847547891,541.7077847547889
2023,5_10km,gt_50km,129672,182280,0.13687288233990225,0.1924022841701939,433.4973031098482,433.4973031098475
2024,0_5km,gt_50km,154934,172329,0.16543498571848056,0.18400896932810124,493.9450126785541,493.9450126785539
2024,10_25km,gt_50km,269157,172329,0.28739969568351087,0.18400896932810124,816.3760066909379,816.3760066909381
2024,25_50km,gt_50km,199433,172329,0.21295000133472144,0.18400896932810124,504.72658060014123,504.72658060014146
2024,5_10km,gt_50km,140672,172329,0.15020634793518592,0.18400896932810124,669.5269739321081,669.5269739321081
2025,0_5km,gt_50km,160108,170147,0.17148151123249525,0.1822336466115083,341.6434488669921,341.6434488669921
2025,10_25km,gt_50km,266735,170147,0.2856829196454869,0.1822336466115083,725.2576801070182,725.257680107018
2025,25_50km,gt_50km,194958,170147,0.20880713310306048,0.1822336466115083,595.9968845246705,595.9968845246709
2025,5_10km,gt_50km,141727,170147,0.15179478940744906,0.1822336466115083,487.6170784369616,487.61707843696115
