covariate_set,group,time,att,se
none,2009,2010,707.8037064169968,63.50540088160147
none,2009,2011,559.7714595870498,50.298766520723014
none,2009,2012,541.8791212960552,51.28970451182296
none,2009,2013,407.6681415885665,47.69337342380729
none,2009,2014,88.32560022696472,49.72353795253808
none,2009,2015,345.8815167066206,42.76620705050955
none,2009,2016,-16.299007638548574,64.84187219275377
none,2009,2017,-918.4343792444433,66.18066439109582
none,2009,2018,-589.2230926491613,57.9291660886481
none,2009,2019,-298.93628002247533,51.137061411965036
none,2009,2020,-603.8848349276275,60.30735790553062
none,2009,2021,-253.92974698672205,57.93224254808406
none,2009,2022,-117.95239383746213,52.25000683060246
none,2009,2023,327.39436195351635,51.303180796041296
none,2009,2024,338.6986712825791,50.14573086339693
none,2009,2025,327.9116497688338,54.16469665711119
none,2010,2002,-239.01850371527527,193.6270598033402
none,2010,2003,-62.738014213487986,148.8512032608781
none,2010,2004,66.85411433065588,119.08255196396534
none,2010,2005,-100.40242043871831,125.39828283529035
none,2010,2006,928.1312009976435,167.8447200091587
none,2010,2007,-1569.1189838225073,166.14894423465338
none,2010,2008,280.9067716289836,117.28043109121424
none,2010,2009,1003.087185565603,151.43218509518658
none,2010,2010,-438.2503676308168,161.3889430868826
none,2010,2011,-177.00414453767957,169.41652871100743
none,2010,2012,-290.43012050868424,149.96549259264864
none,2010,2013,-736.4872891133762,155.53015160706641
none,2010,2014,-1196.2800347868954,183.54844028543977
none,2010,2015,-986.6778722803439,142.06835442832846
none,2010,2016,-1388.9157355828656,213.92563874499942
none,2010,2017,-1999.4690732720705,207.69317595135738
none,2010,2018,-2178.8922070135536,142.56406251966365
none,2010,2019,-1812.1312366799089,136.58073998677327
none,2010,2020,-2239.7318295852824,139.14659159847528
none,2010,2021,-1673.333160100498,188.50016372484157
none,2010,2022,-1570.859312718561,159.2591140717253
none,2010,2023,-1033.3971593253807,167.98974209480207
none,2010,2024,-429.38777909626003,253.27618863275728
none,2010,2025,-1039.5598400848012,172.15997062338297
none,2011,2002,-428.75622683198566,101.95383150815748
none,2011,2003,295.08347138386546,98.6321606300569
none,2011,2004,965.0972135753253,128.95251153098363
none,2011,2005,-731.3086658545002,136.40365157098594
none,2011,2006,476.85617231547496,128.40386887136793
