buffer_km,cohort_year,event_time,year,treated_mean_loss_m2,control_mean_loss_m2,difference_m2,n_treated_rows,n_control_rows
50.0,2013,-6,2007,927.459375978721,1834.9049796886636,-907.4456037099426,1730,403506
50.0,2013,-5,2008,1300.7601555889416,1723.3816968120984,-422.6215412231568,1730,368702
50.0,2013,-4,2009,1113.2735072592473,1460.0704491995994,-346.7969419403521,1730,332046
50.0,2013,-3,2010,732.388160043989,1228.0625771182783,-495.6744170742893,1730,319552
50.0,2013,-2,2011,936.4613238371126,1181.624025128076,-245.16270129096347,1730,288418
50.0,2013,-1,2012,1114.3480205498447,1307.0280321023472,-192.6800115525025,1730,281274
50.0,2014,-8,2006,544.9721885772211,1088.1667527943507,-543.1945642171296,368,418997
50.0,2014,-7,2007,2705.7935934764346,1834.9049796886636,870.888613787771,368,403506
50.0,2014,-6,2008,1553.0772342385947,1723.3816968120984,-170.30446257350377,368,368702
50.0,2014,-5,2009,1266.01850789388,1460.0704491995994,-194.0519413057193,368,332046
50.0,2014,-4,2010,490.9942287207666,1228.0625771182783,-737.0683483975117,368,319552
50.0,2014,-3,2011,523.5946824739657,1181.624025128076,-658.0293426541103,368,288418
50.0,2014,-2,2012,1064.4499950360155,1307.0280321023472,-242.57803706633172,368,281274
50.0,2014,-1,2013,366.99013443773663,1150.60829509518,-783.6181606574434,368,279630
50.0,2018,-8,2010,1418.072146360036,1228.0625771182783,190.00956924175762,11890,319552
50.0,2018,-7,2011,1035.443943598072,1181.624025128076,-146.18008153000392,11890,288418
50.0,2018,-6,2012,1254.4454087682811,1307.0280321023472,-52.58262333406606,11890,281274
50.0,2018,-5,2013,517.1142038597732,1150.60829509518,-633.4940912354068,11890,279630
50.0,2018,-4,2014,882.2935094945092,1606.859334242635,-724.5658247481258,11890,274161
50.0,2018,-3,2015,608.4997370427835,1099.3693630106263,-490.8696259678428,11890,274161
50.0,2018,-2,2016,937.5925303083602,1875.2239122598658,-937.6313819515055,11890,274161
50.0,2018,-1,2017,1603.108574749978,2966.943134695969,-1363.834559945991,11890,274161
50.0,2019,-8,2011,2701.745634856047,1181.624025128076,1520.1216097279712,9,288418
50.0,2019,-7,2012,2452.812817090269,1307.0280321023472,1145.784784987922,9,281274
50.0,2019,-6,2013,990.6748250325521,1150.60829509518,-159.93347006262786,9,279630
50.0,2019,-5,2014,594.7837727864584,1606.859334242635,-1012.0755614561766,9,274161
50.0,2019,-4,2015,792.2044926396123,1099.3693630106263,-307.164870371014,9,274161
50.0,2019,-3,2016,1015.2206472758376,1875.2239122598658,-860.0032649840282,9,274161
50.0,2019,-2,2017,3925.7082815797758,2966.943134695969,958.7651468838067,9,274161
50.0,2019,-1,2018,493.94281684027777,2751.971149855678,-2258.0283330154,9,207960
50.0,2020,-8,2012,344.8753192700776,1307.0280321023472,-962.1527128322696,24879,281274
50.0,2020,-7,2013,224.92066801306797,1150.60829509518,-925.687627082112,24879,279630
50.0,2020,-6,2014,168.8318925686432,1606.859334242635,-1438.0274416739917,24879,274161
50.0,2020,-5,2015,77.01599205619353,1099.3693630106263,-1022.3533709544328,24879,274161
50.0,2020,-4,2016,184.9236791576265,1875.2239122598658,-1690.3002331022392,24879,274161
50.0,2020,-3,2017,527.6358669275778,2966.943134695969,-2439.3072677683913,24879,274161
50.0,2020,-2,2018,1098.3393099985979,2751.971149855678,-1653.6318398570802,24879,207960
50.0,2020,-1,2019,640.0498726467459,1993.251698045617,-1353.2018253988713,24879,207960
50.0,2021,-8,2013,627.8754927546424,1150.60829509518,-522.7328023405375,2119,279630
50.0,2021,-7,2014,1175.047012165739,1606.859334242635,-431.81232207689595,2119,274161
50.0,2021,-6,2015,886.1161176849486,1099.3693630106263,-213.25324532567777,2119,274161
50.0,2021,-5,2016,1613.2221033278156,1875.2239122598658,-262.00180893205015,2119,274161
50.0,2021,-4,2017,3522.2778748517026,2966.943134695969,555.3347401557335,2119,274161
50.0,2021,-3,2018,1793.4026813850148,2751.971149855678,-958.5684684706632,2119,207960
50.0,2021,-2,2019,1302.4357049208634,1993.251698045617,-690.8159931247537,2119,207960
50.0,2021,-1,2020,1070.3173734796317,2041.8831235722807,-971.5657500926491,2119,185173
50.0,2024,-8,2016,1746.2347420559781,1875.2239122598658,-128.98917020388762,10865,274161
50.0,2024,-7,2017,2544.365823625867,2966.943134695969,-422.57731107010204,10865,274161
50.0,2024,-6,2018,1187.8563056632827,2751.971149855678,-1564.1148441923954,10865,207960
50.0,2024,-5,2019,832.7659148347716,1993.251698045617,-1160.4857832108455,10865,207960
50.0,2024,-4,2020,903.9880991379641,2041.8831235722807,-1137.8950244343166,10865,185173
50.0,2024,-3,2021,838.3127616366979,1475.4504755540634,-637.1377139173654,10865,182280
50.0,2024,-2,2022,947.9651406053539,1321.7178686839475,-373.7527280785936,10865,182280
50.0,2024,-1,2023,1093.5822577629904,1083.5288717149958,10.053386047994536,10865,182280
50.0,2025,-8,2017,4966.737384765037,2966.943134695969,1999.7942500690679,2850,274161
50.0,2025,-7,2018,4459.880255378316,2751.971149855678,1707.9091055226381,2850,207960
50.0,2025,-6,2019,3447.3567671242768,1993.251698045617,1454.1050690786597,2850,207960
50.0,2025,-5,2020,3655.489584372211,2041.8831235722807,1613.6064607999303,2850,185173
50.0,2025,-4,2021,2737.4636568622414,1475.4504755540634,1262.013181308178,2850,182280
50.0,2025,-3,2022,3029.863629689986,1321.7178686839475,1708.1457610060384,2850,182280
50.0,2025,-2,2023,2289.672984694138,1083.5288717149958,1206.1441129791422,2850,182280
50.0,2025,-1,2024,1268.6024237431336,1026.1672916755838,242.43513206754983,2850,172329
