group,time,event_time,att_no_covariate_recomputed,spatial_hac_se,hac_n_units,hac_n_pairs_used,hac_truncated,hac_cutoff_km,hac_kernel
2009,2009,0,629.052534502876,57.367574592191396,379499,50000000,True,25,bartlett
2009,2010,1,707.8037064169968,64.0210418321989,379499,50000000,True,25,bartlett
2009,2011,2,559.7714595870498,51.07760950164183,379499,50000000,True,25,bartlett
2009,2012,3,541.8791212960552,51.76538163800721,379499,50000000,True,25,bartlett
2009,2013,4,407.6681415885665,48.564265797202836,379499,50000000,True,25,bartlett
2009,2014,5,88.32560022696472,49.86388961876804,379499,50000000,True,25,bartlett
2009,2015,6,345.8815167066206,43.802280526558846,379499,50000000,True,25,bartlett
2009,2016,7,-16.299007638548574,65.53895192247889,379499,50000000,True,25,bartlett
2009,2017,8,-918.4343792444433,68.08037655597617,379499,50000000,True,25,bartlett
2009,2018,9,-589.2230926491613,58.7982153590274,379499,50000000,True,25,bartlett
2009,2019,10,-298.93628002247533,67.50153138040278,379499,50000000,True,25,bartlett
2009,2020,11,-603.8848349276275,61.09195443081287,379499,50000000,True,25,bartlett
2009,2021,12,-253.92974698672205,58.06594971199036,379499,50000000,True,25,bartlett
2009,2022,13,-117.95239383746213,52.71355431977415,379499,50000000,True,25,bartlett
2009,2023,14,327.39436195351635,51.90076001643854,379499,50000000,True,25,bartlett
2009,2024,15,338.6986712825791,50.88265018445325,379499,50000000,True,25,bartlett
2009,2025,16,327.9116497688338,54.66428927763266,379499,50000000,True,25,bartlett
2010,2002,-8,-546.7198540481721,173.818649433506,366223,50000000,True,25,bartlett
2010,2003,-7,-609.4578682616605,132.18407484606394,366223,50000000,True,25,bartlett
2010,2004,-6,-542.6037539310045,167.25348117342708,366223,50000000,True,25,bartlett
2010,2005,-5,-643.0061743697228,145.2282435738435,366223,50000000,True,25,bartlett
2010,2006,-4,285.12502662792076,179.54114303721173,366223,50000000,True,25,bartlett
2010,2007,-3,-1283.9939571945865,143.12259937455542,366223,50000000,True,25,bartlett
2010,2008,-2,-1003.087185565603,151.54121521102635,366223,50000000,True,25,bartlett
2010,2009,-1,0.0,0.0,366223,50000000,True,25,bartlett
2010,2010,0,-438.2503676308168,161.34090061193783,366223,50000000,True,25,bartlett
2010,2011,1,-177.00414453767957,169.38215829061062,366223,50000000,True,25,bartlett
