covariate_set,group,time,att,se,att_csdid,se_csdid,att_difference_diffdiff_minus_csdid
none,2007,2017,-1745.3161696685647,71.05341245809879,-1745.3162,71.0466,3.0331435254993266e-05
none,2007,2018,-1545.8686000837472,51.72764386583765,-1545.8686,51.7233,-8.3747181633953e-08
none,2007,2019,-1119.406139424091,57.34443530432158,-1119.4061,57.3389,-3.942409102819511e-05
none,2007,2020,-1626.366669807225,61.29670113358815,-1626.3667,61.2911,3.019277505700302e-05
none,2007,2021,-1091.107538207353,55.09903252543252,-1091.1075,55.0938,-3.820735287263233e-05
none,2007,2022,-948.819147391775,60.519899788933934,-948.8191,60.5138,-4.739177495594049e-05
none,2007,2023,-646.9188713665715,47.00973114198012,-646.9189,47.0052,2.863342854197981e-05
none,2007,2024,-535.8440091984733,50.04036095909752,-535.844,50.0355,-9.198473208016367e-06
none,2007,2025,-499.4068987670035,53.51727090777846,-499.4069,53.5119,1.2329965102253482e-06
none,2008,2002,344.4960861156557,198.33820099833068,344.4961,198.3015,-1.3884344298276119e-05
none,2008,2003,222.8344006245689,202.58058061860297,222.8344,202.543,6.24568912144241e-07
none,2008,2004,-583.6159861619742,180.61152324146423,-583.616,180.5781,1.3838025779477903e-05
none,2008,2005,-2.6364059754076834,167.8441423252479,-2.6364,167.8132,-5.975407683322942e-06
none,2008,2006,165.29419230529368,142.9235125656578,165.2942,142.8972,-7.694706312122435e-06
none,2008,2007,-1092.6445761552109,116.72334378611083,-1092.6446,116.7022,2.3844789211580064e-05
none,2008,2008,-104.02720300479159,110.6465780306025,-104.0272,110.6268,-3.0047915942077452e-06
none,2008,2009,847.4110570012126,123.11227406309969,847.4111,123.09,-4.2998787421311135e-05
none,2008,2010,605.2327686224104,132.83162532720812,605.2328,132.8075,-3.1377589607473055e-05
none,2008,2011,754.4949571811476,146.43520927094795,754.495,146.4085,-4.281885242107819e-05
none,2008,2012,409.707810950191,106.46111325803952,409.7078,106.4422,1.0950190983294306e-05
none,2008,2013,30.39368771420152,100.52504200603605,30.3937,100.5073,-1.2285798479894083e-05
none,2008,2014,-253.8773907842487,101.32337584212969,-253.8774,101.3057,9.215751305191588e-06
none,2008,2015,14.793659025326065,104.48376039336296,14.7937,104.4653,-4.097467393471277e-05
none,2008,2016,-493.3008616857069,113.66345303372339,-493.3009,113.6437,3.831429313549961e-05
none,2008,2017,257.15546282117134,237.28479181566934,257.1555,237.2414,-3.7178828677042475e-05
none,2008,2018,-468.65251554944416,136.75291252742093,-468.6525,136.7288,-1.5549444185580796e-05
none,2008,2019,-322.30656863894745,123.1218147712674,-322.3066,123.1001,3.136105254952781e-05
none,2008,2020,-333.66367044052396,161.41737135049482,-333.6637,161.3885,2.9559476047325006e-05
none,2008,2021,-411.73822967700266,119.01834835605004,-411.7382,118.9975,-2.967700265799067e-05
none,2008,2022,-455.1872840161209,106.81812683607389,-455.1873,106.7996,1.598387910917154e-05
